Date,Open,High,Low,Close,Volume
2010-03-04,1119.12,1123.73,1116.66,1122.97,2191672222
2010-03-05,1125.12,1139.38,1125.12,1138.7,2296111111
2010-03-08,1138.4,1141.05,1136.77,1138.5,2097044444
2010-03-09,1137.56,1145.37,1134.9,1140.45,2880872222
2010-03-10,1140.22,1148.26,1140.09,1145.61,3038400000
2010-03-11,1143.96,1150.24,1138.99,1150.24,2593922222
2010-03-12,1151.71,1153.41,1146.97,1149.99,2737866667
2010-03-15,1148.53,1150.98,1141.45,1150.51,2313394444
2010-03-16,1150.83,1160.28,1150.35,1159.46,2427650000
2010-03-17,1159.94,1169.84,1159.94,1166.21,2757333333
2010-03-18,1166.13,1167.77,1161.16,1165.83,2352505556
2010-03-19,1166.68,1169.2,1155.33,1159.9,2895783333
2010-03-22,1157.25,1167.82,1152.88,1165.81,2367600000
2010-03-23,1166.47,1174.72,1163.83,1174.17,2450911111
2010-03-24,1172.7,1173.04,1166.01,1167.72,2614305556
2010-03-25,1170.03,1180.69,1165.09,1165.73,3149388889
2010-03-26,1167.58,1173.93,1161.48,1166.59,2615788889
2010-03-29,1167.71,1174.85,1167.71,1173.22,2430877778
2010-03-30,1173.75,1177.83,1168.92,1173.27,2269444444
2010-03-31,1171.75,1174.56,1165.77,1169.43,2491300000
2010-04-01,1171.23,1181.43,1170.69,1178.1,2226038889
2010-04-05,1178.71,1187.73,1178.71,1187.44,2156455556
2010-04-06,1186.01,1191.8,1182.77,1189.44,2270100000
2010-04-07,1188.23,1189.6,1177.25,1182.45,2834127778
2010-04-08,1181.75,1188.55,1175.12,1186.44,2626094444
2010-04-09,1187.47,1194.66,1187.15,1194.37,2506427778
2010-04-12,1194.94,1199.2,1194.71,1196.48,2559494444
2010-04-13,1195.94,1199.04,1188.82,1197.3,3001988889
2010-04-14,1198.69,1210.65,1198.69,1210.65,3200022222
2010-04-15,1210.77,1213.92,1208.5,1211.67,3330738889
2010-04-16,1210.17,1210.17,1186.77,1192.13,4504705556
2010-04-19,1192.06,1197.87,1183.68,1197.52,3665411111
2010-04-20,1199.04,1208.58,1199.04,1207.17,2953661111
2010-04-21,1207.16,1210.99,1198.85,1205.94,3180172222
2010-04-22,1202.52,1210.27,1190.19,1208.67,3353211111
2010-04-23,1207.87,1217.28,1205.1,1217.28,2958922222
2010-04-26,1217.07,1219.8,1211.07,1212.05,3137644444
2010-04-27,1209.92,1211.38,1181.62,1183.71,4141411111
2010-04-28,1184.59,1195.05,1181.81,1191.36,3523505556
2010-04-29,1193.3,1209.36,1193.3,1206.78,3366338889
2010-04-30,1206.77,1207.99,1186.32,1186.69,3360144444
2010-05-03,1188.58,1205.13,1188.58,1202.26,2743361111
2010-05-04,1197.5,1197.5,1168.12,1173.6,3663733333
2010-05-05,1169.24,1175.95,1158.15,1165.87,3775522222
2010-05-06,1164.38,1167.58,1065.79,1128.15,5898783333
2010-05-07,1127.04,1135.13,1094.15,1110.88,5262727778
2010-05-10,1122.27,1163.85,1122.27,1159.73,3829833333
2010-05-11,1156.39,1170.48,1147.71,1155.79,3245861111
2010-05-12,1155.43,1172.87,1155.43,1171.67,2903033333
2010-05-13,1170.04,1173.57,1156.14,1157.44,2705911111
2010-05-14,1157.19,1157.19,1126.14,1135.68,3403555556
2010-05-17,1136.52,1141.88,1114.96,1136.94,3290511111
2010-05-18,1138.78,1148.66,1117.2,1120.8,3428244444
2010-05-19,1119.57,1124.27,1100.66,1115.05,3758777778
2010-05-20,1107.34,1107.34,1071.58,1071.59,4626983333
2010-05-21,1067.26,1090.16,1055.9,1087.69,3028961111
2010-05-24,1084.78,1089.95,1072.7,1073.65,2902244444
2010-05-25,1067.42,1074.75,1040.78,1074.03,4071988889
2010-05-26,1075.51,1090.75,1065.59,1067.95,2511694444
2010-05-27,1074.27,1103.52,1074.27,1103.06,3165811111
2010-05-28,1102.59,1102.59,1084.78,1089.41,2706227778
2010-06-01,1087.3,1094.77,1069.89,1070.71,2928600000
2010-06-02,1073.01,1098.56,1072.03,1098.38,2792422222
2010-06-03,1098.82,1105.67,1091.81,1102.83,2775538889
2010-06-04,1098.43,1098.43,1060.5,1064.88,3433655556
2010-06-07,1065.84,1071.36,1049.86,1050.47,3037533333
2010-06-08,1050.81,1063.15,1042.17,1062,3440416667
2010-06-09,1062.75,1077.74,1052.25,1055.69,3324000000
2010-06-10,1058.77,1087.85,1058.77,1086.84,2858211111
2010-06-11,1082.65,1092.25,1077.12,1091.6,2255155556
2010-06-14,1095,1105.91,1089.03,1089.63,2458794444
2010-06-15,1091.21,1115.59,1091.21,1115.23,2580272222
2010-06-16,1114.02,1118.74,1107.13,1114.61,2779222222
2010-06-17,1115.98,1117.72,1105.87,1116.04,2532088889
2010-06-18,1116.16,1121.01,1113.93,1117.51,2530755556
2010-06-21,1122.79,1131.23,1108.24,1113.2,2507977778
2010-06-22,1113.9,1118.5,1094.18,1095.31,2507988889
2010-06-23,1095.57,1099.64,1085.31,1092.04,2514527778
2010-06-24,1090.93,1090.93,1071.6,1073.69,2674905556
2010-06-25,1075.1,1083.56,1067.89,1076.76,2849355556
2010-06-28,1077.5,1082.6,1071.45,1074.57,2164672222
2010-06-29,1071.1,1071.1,1035.18,1041.24,3409277778
2010-06-30,1040.56,1048.08,1028.33,1030.71,2815044444
2010-07-01,1031.1,1033.58,1010.91,1027.37,3575427778
2010-07-02,1027.65,1032.95,1015.93,1022.58,2204722222
2010-07-06,1028.09,1042.5,1018.35,1028.06,2606244444
2010-07-07,1028.54,1060.89,1028.54,1060.27,2739566667
2010-07-08,1062.92,1071.25,1058.24,1070.25,2526922222
2010-07-09,1070.5,1078.16,1068.1,1077.96,1948094444
2010-07-12,1077.23,1080.78,1070.45,1078.75,1903883333
2010-07-13,1080.65,1099.46,1080.65,1095.34,2578033333
2010-07-14,1095.61,1099.08,1087.68,1095.17,2511694444
2010-07-15,1094.46,1098.66,1080.53,1096.48,2529150000
2010-07-16,1093.85,1093.85,1063.32,1064.88,2942972222
2010-07-19,1066.85,1074.7,1061.11,1071.25,2271944444
2010-07-20,1064.53,1083.94,1056.88,1083.48,2618488889
2010-07-21,1086.67,1088.96,1065.25,1069.59,2637322222
2010-07-22,1072.14,1097.5,1072.14,1093.67,2681611111
2010-07-23,1092.17,1103.73,1087.88,1102.66,2513650000
2010-07-26,1102.89,1115.01,1101.3,1115.01,2227583333
2010-07-27,1117.36,1120.95,1109.78,1113.84,2625383333
2010-07-28,1112.84,1114.66,1103.11,1106.13,2223550000
2010-07-29,1108.07,1115.9,1092.82,1101.53,2562455556
2010-07-30,1098.44,1106.44,1088.01,1101.6,2225805556
2010-08-02,1107.53,1127.3,1107.53,1125.86,2302322222
2010-08-03,1125.34,1125.44,1116.76,1120.46,2262122222
2010-08-04,1121.06,1128.75,1119.46,1127.24,2254361111
2010-08-05,1125.78,1126.56,1118.81,1125.81,2047533333
2010-08-06,1122.07,1123.06,1107.17,1121.64,2143272222
2010-08-09,1122.8,1129.24,1120.91,1127.79,2210755556
2010-08-10,1122.92,1127.16,1111.58,1121.06,2210755556
2010-08-11,1116.89,1116.89,1088.55,1089.47,2506588889
2010-08-12,1081.48,1086.72,1076.69,1083.61,2511694444
2010-08-13,1082.22,1086.25,1079,1079.25,1849383333
2010-08-16,1077.49,1082.62,1069.49,1079.38,1745805556
2010-08-17,1081.16,1100.14,1081.16,1092.54,2204561111
2010-08-18,1092.08,1099.77,1085.76,1094.16,2069033333
2010-08-19,1092.44,1092.44,1070.66,1075.63,2383633333
2010-08-20,1075.63,1075.63,1063.91,1071.69,2089761111
2010-08-23,1073.36,1081.58,1067.08,1067.36,1783861111
2010-08-24,1063.2,1063.2,1046.68,1051.87,2464627778
2010-08-25,1048.98,1059.38,1039.83,1055.33,2422327778
2010-08-26,1056.28,1061.45,1045.4,1047.22,2025950000
2010-08-27,1049.27,1065.21,1039.7,1064.59,2279144444
2010-08-30,1062.9,1064.4,1048.79,1048.92,1621105556
2010-08-31,1046.88,1055.14,1040.88,1049.33,2243761111
2010-09-01,1049.72,1081.3,1049.72,1080.29,2442711111
2010-09-02,1080.66,1090.1,1080.39,1090.1,2057894444
2010-09-03,1093.61,1105.1,1093.61,1104.51,1963611111
2010-09-07,1102.6,1102.6,1091.15,1091.84,1726322222
2010-09-08,1092.36,1103.26,1092.36,1098.87,1791466667
2010-09-09,1101.15,1110.27,1101.15,1104.18,1882094444
2010-09-10,1104.57,1110.88,1103.92,1109.55,1700644444
2010-09-13,1113.38,1123.87,1113.38,1121.9,2511694444
2010-09-14,1121.16,1127.36,1115.58,1121.1,2511694444
2010-09-15,1119.43,1126.46,1114.63,1125.07,1872133333
2010-09-16,1123.89,1125.44,1118.88,1124.66,1868933333
2010-09-17,1126.39,1131.47,1122.43,1125.59,2270077778
2010-09-20,1126.57,1144.86,1126.57,1142.71,1868933333
2010-09-21,1142.82,1148.59,1136.22,1139.78,2319811111
2010-09-22,1139.49,1144.38,1131.58,1134.28,2172816667
2010-09-23,1131.1,1136.77,1122.79,1124.83,2137694444
2010-09-24,1131.69,1148.9,1131.69,1148.67,2291083333
2010-09-27,1148.64,1149.92,1142,1142.16,1993255556
2010-09-28,1142.31,1150,1132.09,1147.7,2236577778
2010-09-29,1146.75,1148.63,1140.26,1144.73,2216822222
2010-09-30,1145.97,1157.16,1136.08,1141.2,2380088889
2010-10-01,1143.49,1150.3,1139.42,1146.24,2388283333
2010-10-04,1144.96,1148.16,1131.87,1137.03,2002283333
2010-10-05,1140.68,1162.76,1140.68,1160.75,2260466667
2010-10-06,1159.81,1162.33,1154.85,1159.97,2262866667
2010-10-07,1161.57,1163.87,1151.41,1158.06,2172527778
2010-10-08,1158.36,1167.73,1155.58,1165.15,2150788889
2010-10-11,1165.32,1168.68,1162.02,1165.32,1392166667
2010-10-12,1164.28,1172.58,1155.71,1169.77,2264538889
2010-10-13,1171.32,1184.38,1171.32,1178.1,2760783333
2010-10-14,1177.82,1178.89,1166.71,1173.81,2760783333
2010-10-15,1177.47,1181.2,1167.12,1176.19,3180505556
2010-10-18,1176.83,1185.53,1174.55,1184.71,2472250000
2010-10-19,1178.64,1178.64,1159.71,1165.9,3111177778
2010-10-20,1166.74,1182.94,1166.74,1178.17,2793266667
2010-10-21,1179.82,1189.43,1171.17,1180.26,2569705556
2010-10-22,1180.52,1183.93,1178.99,1183.08,1765494444
2010-10-25,1184.74,1196.14,1184.74,1185.62,2345211111
2010-10-26,1184.88,1187.11,1177.72,1185.64,2335377778
2010-10-27,1183.84,1183.84,1171.7,1182.45,2408705556
2010-10-28,1184.47,1189.53,1177.1,1183.78,2379700000
2010-10-29,1183.87,1185.46,1179.7,1183.26,1965488889
2010-11-01,1185.71,1195.81,1177.65,1184.38,2293988889
2010-11-02,1187.86,1195.88,1187.86,1193.57,2147888889
2010-11-03,1193.79,1198.3,1183.56,1197.96,2591933333
2010-11-04,1198.34,1221.25,1198.34,1221.06,3164150000
2010-11-05,1221.2,1227.08,1220.29,1225.85,3131922222
2010-11-08,1223.24,1224.57,1217.55,1223.25,2187350000
2010-11-09,1223.59,1226.84,1208.94,1213.4,2693355556
2010-11-10,1213.14,1218.75,1204.33,1218.71,2534055556
2010-11-11,1213.04,1215.45,1204.49,1213.54,2183955556
2010-11-12,1209.07,1210.5,1194.08,1199.21,2340900000
2010-11-15,1200.44,1207.43,1197.15,1197.75,1946316667
2010-11-16,1194.79,1194.79,1173,1178.34,2842433333
2010-11-17,1178.33,1183.56,1175.82,1178.59,2169322222
2010-11-18,1183.75,1200.29,1183.75,1196.69,2604033333
2010-11-19,1196.12,1199.97,1189.44,1199.73,2041883333
2010-11-22,1198.07,1198.94,1184.58,1197.84,2049722222
2010-11-23,1192.51,1192.51,1176.91,1180.73,2296150000
2010-11-24,1183.7,1198.62,1183.7,1198.35,1880138889
2010-11-26,1194.16,1194.16,1186.93,1189.4,896566667
2010-11-29,1189.08,1190.34,1173.64,1187.76,2040805556
2010-11-30,1182.96,1187.4,1174.14,1180.55,2380388889
2010-12-01,1186.6,1207.61,1186.6,1206.07,2526727778
2010-12-02,1206.81,1221.89,1206.81,1221.53,2761555556
2010-12-03,1219.93,1225.57,1216.82,1224.71,2075433333
2010-12-06,1223.87,1225.8,1220.67,1223.12,1959650000
2010-12-07,1227.25,1235.05,1223.25,1223.75,3872572222
2010-12-08,1225.02,1228.93,1219.5,1228.28,2559772222
2010-12-09,1230.14,1234.71,1226.85,1233,2512505556
2010-12-10,1233.85,1240.4,1232.58,1240.4,2526283333
2010-12-13,1242.52,1246.73,1240.34,1240.46,2422911111
2010-12-14,1241.84,1246.59,1238.17,1241.59,2295750000
2010-12-15,1241.58,1244.25,1234.01,1235.23,2448522222
2010-12-16,1236.34,1243.75,1232.85,1242.87,2631566667
2010-12-17,1243.63,1245.81,1239.87,1243.91,2573594444
2010-12-20,1245.76,1250.2,1241.51,1247.08,1971188889
2010-12-21,1249.43,1255.82,1249.43,1254.6,1933150000
2010-12-22,1254.94,1259.39,1254.94,1258.84,714216667
2010-12-23,1257.53,1258.59,1254.05,1256.77,1397233333
2010-12-27,1254.66,1258.43,1251.48,1257.54,1106927778
2010-12-28,1259.1,1259.9,1256.22,1258.51,1376916667
2010-12-29,1258.78,1262.6,1258.78,1259.78,1230211111
2010-12-30,1259.44,1261.09,1256.32,1257.88,1094844444
2010-12-31,1256.76,1259.34,1254.19,1257.64,999872222
2011-01-03,1257.62,1276.17,1257.62,1271.89,2381483333
2011-01-04,1272.95,1274.12,1262.66,1270.2,2664677778
2011-01-05,1268.78,1277.63,1265.36,1276.56,2647177778
2011-01-06,1276.29,1278.17,1270.43,1273.85,2691166667
2011-01-07,1274.41,1276.83,1261.7,1271.5,2757283333
2011-01-10,1270.84,1271.52,1262.18,1269.75,2242472222
2011-01-11,1272.58,1277.25,1269.62,1274.48,2250416667
2011-01-12,1275.65,1286.87,1275.65,1285.96,2348300000
2011-01-13,1285.78,1286.7,1280.47,1283.76,2394911111
2011-01-14,1282.9,1293.24,1281.24,1293.24,2589772222
2011-01-18,1293.22,1296.06,1290.16,1295.02,2936105556
2011-01-19,1294.52,1294.6,1278.92,1281.92,2635394444
2011-01-20,1280.85,1283.35,1271.26,1280.26,2741844444
2011-01-21,1283.63,1291.21,1282.07,1283.35,2741844444
2011-01-24,1283.29,1291.93,1282.47,1290.84,2168038889
2011-01-25,1288.17,1291.26,1281.07,1291.18,2552988889
2011-01-26,1291.97,1299.74,1291.97,1296.63,2628322222
2011-01-27,1297.51,1301.29,1294.41,1299.54,2393994444
2011-01-28,1299.63,1302.67,1275.1,1276.34,3121461111
2011-01-31,1276.5,1287.17,1276.5,1286.12,2315088889
2011-02-01,1289.14,1308.86,1289.14,1307.59,2869166667
2011-02-02,1305.91,1307.61,1302.62,1304.03,2276811111
2011-02-03,1302.77,1308.6,1294.83,1307.1,2428327778
2011-02-04,1307.01,1311,1301.67,1310.87,2181083333
2011-02-07,1311.85,1322.85,1311.85,1319.05,2167927778
2011-02-08,1318.76,1324.87,1316.03,1324.57,2156405556
2011-02-09,1322.48,1324.54,1314.89,1320.88,2179022222
2011-02-10,1318.13,1322.78,1311.74,1321.87,2324783333
2011-02-11,1318.66,1330.79,1316.08,1329.15,2344055556
2011-02-14,1328.73,1332.96,1326.9,1332.32,1981688889
2011-02-15,1330.43,1330.43,1324.61,1328.01,2181588889
2011-02-16,1329.51,1337.61,1329.51,1336.32,1092472222
2011-02-17,1334.37,1341.5,1331,1340.43,1092472222
2011-02-18,1340.38,1344.07,1338.12,1343.01,645727778
2011-02-22,1338.91,1338.91,1312.33,1315.44,734877778
2011-02-23,1315.44,1317.91,1299.55,1307.4,739077778
2011-02-24,1307.09,1310.91,1294.26,1306.1,679388889
2011-02-25,1307.34,1320.61,1307.34,1319.88,2131127778
2011-02-28,1321.61,1329.38,1320.55,1327.22,696027778
2011-03-01,1328.64,1332.09,1306.14,1306.33,655788889
2011-03-02,1305.47,1314.19,1302.58,1308.44,569444444
2011-03-03,1312.37,1332.28,1312.37,1330.97,2411372222
2011-03-04,1330.73,1331.08,1312.59,1321.15,2346522222
2011-03-07,1322.72,1327.68,1303.99,1310.13,2202627778
2011-03-08,1311.05,1325.74,1306.86,1321.82,2517455556
2011-03-09,1319.92,1323.21,1312.27,1320.02,2060844444
2011-03-10,1315.72,1315.72,1294.21,1295.11,2623900000
2011-03-11,1293.43,1308.35,1291.99,1304.28,2078000000
2011-03-14,1301.19,1301.19,1286.37,1296.39,2250205556
2011-03-15,1288.46,1288.46,1261.12,1281.87,2889666667
2011-03-16,1279.46,1280.91,1249.05,1256.88,3240555556
2011-03-17,1261.61,1278.88,1261.61,1273.72,2297194444
2011-03-18,1276.71,1288.88,1276.18,1279.2,2603055556
2011-03-21,1281.65,1300.58,1281.6,1298.38,2346516667
2011-03-22,1298.29,1299.35,1292.7,1293.77,1986972222
2011-03-23,1292.19,1300.51,1284.05,1297.54,2134638889
2011-03-24,1300.61,1311.34,1297.74,1309.66,2346522222
2011-03-25,1311.8,1319.18,1310.15,1313.8,2346522222
2011-03-28,1315.45,1319.74,1310.19,1310.19,1786205556
2011-03-29,1309.37,1319.45,1305.26,1319.44,1934766667
2011-03-30,1321.89,1331.74,1321.89,1328.26,2116427778
2011-03-31,1327.44,1329.77,1325.03,1325.83,1981261111
2011-04-01,1329.48,1337.85,1328.89,1332.41,2346522222
2011-04-04,1333.56,1336.74,1329.1,1332.87,2346522222
2011-04-05,1332.03,1338.21,1330.03,1332.63,2140155556
2011-04-06,1335.94,1339.38,1331.09,1335.54,2346522222
2011-04-07,1334.82,1338.8,1326.56,1333.51,2225333333
2011-04-08,1336.16,1339.46,1322.94,1328.17,1990450000
2011-04-11,1329.01,1333.77,1321.06,1324.46,1932761111
2011-04-12,1321.96,1321.96,1309.51,1314.16,2375272222
2011-04-13,1314.03,1321.35,1309.19,1314.41,2139366667
2011-04-14,1311.13,1316.79,1302.42,1314.52,2151461111
2011-04-15,1314.54,1322.88,1313.68,1319.68,2346522222
2011-04-18,1313.35,1313.35,1294.7,1305.14,2346522222
2011-04-19,1305.99,1312.7,1303.97,1312.62,2159055556
2011-04-20,1319.12,1332.66,1319.12,1330.36,2353488889
2011-04-21,1333.23,1337.49,1332.83,1337.38,1992911111
2011-04-25,1337.14,1337.55,1331.47,1335.25,1190072222
2011-04-26,1336.75,1349.55,1336.75,1347.24,2171144444
2011-04-27,1348.43,1357.49,1344.25,1355.66,2250872222
2011-04-28,1353.86,1361.71,1353.6,1360.48,2242677778
2011-04-29,1360.14,1364.56,1358.69,1363.61,1932816667
2011-05-02,1365.21,1370.58,1358.59,1361.22,2136805556
2011-05-03,1359.76,1360.84,1349.52,1356.62,2346522222
2011-05-04,1355.9,1355.9,1341.5,1347.32,2346522222
2011-05-05,1344.16,1348,1329.17,1335.1,2136805556
2011-05-06,1340.24,1354.36,1335.58,1340.2,2346522222
2011-05-09,1340.2,1349.44,1338.64,1346.29,2369583333
2011-05-10,1348.34,1359.44,1348.34,1357.16,2346522222
2011-05-11,1354.51,1354.51,1336.36,1342.08,2136805556
2011-05-12,1339.39,1351.05,1332.03,1348.65,2098450000
2011-05-13,1348.69,1350.47,1333.36,1337.77,1903700000
2011-05-16,1334.77,1343.33,1327.32,1329.47,2136805556
2011-05-17,1326.1,1330.42,1318.51,1328.98,2252205556
2011-05-18,1328.54,1341.82,1326.59,1340.68,2178905556
2011-05-19,1342.4,1346.82,1336.36,1343.6,2014505556
2011-05-20,1342,1342,1330.67,1333.27,2258900000
2011-05-23,1333.07,1333.07,1312.88,1317.37,1808655556
2011-05-24,1317.7,1323.72,1313.87,1316.28,2136805556
2011-05-25,1316.36,1325.86,1311.8,1320.47,2283150000
2011-05-26,1320.64,1328.51,1314.41,1325.69,1810816667
2011-05-27,1325.69,1334.62,1325.69,1331.1,1735866667
2011-05-31,1331.1,1345.2,1331.1,1345.2,2609022222
2011-06-01,1345.2,1345.2,1313.71,1314.55,2356161111
2011-06-02,1314.55,1318.03,1305.61,1312.94,2090094444
2011-06-03,1312.94,1312.94,1297.9,1300.16,1947238889
2011-06-06,1300.26,1300.26,1284.72,1286.17,1975544444
2011-06-07,1286.31,1296.22,1284.74,1284.94,2136805556
2011-06-08,1284.63,1287.04,1277.42,1279.56,2206005556
2011-06-09,1279.63,1294.54,1279.63,1289,1851394444
2011-06-10,1288.6,1288.6,1268.28,1270.98,2136805556
2011-06-13,1271.31,1277.04,1265.64,1271.83,2295844444
2011-06-14,1272.22,1292.5,1272.22,1287.87,1944600000
2011-06-15,1287.87,1287.87,1261.9,1265.42,2261388889
2011-06-16,1265.53,1274.11,1258.07,1267.64,2136805556
2011-06-17,1268.58,1279.82,1267.4,1271.5,2731366667
2011-06-20,1271.5,1280.42,1267.56,1278.36,1924811111
2011-06-21,1278.4,1297.62,1278.4,1295.52,2253416667
2011-06-22,1295.48,1298.61,1286.79,1287.14,2065788889
2011-06-23,1286.6,1286.6,1262.87,1283.5,2768583333
2011-06-24,1283.04,1283.93,1267.24,1268.45,2036300000
2011-06-27,1268.44,1284.91,1267.53,1280.1,1932816667
2011-06-28,1280.21,1296.8,1280.21,1296.67,2045277778
2011-06-29,1296.85,1309.21,1296.85,1307.41,2415300000
2011-06-30,1307.64,1321.97,1307.64,1320.64,2333611111
2011-07-01,1320.64,1341.01,1318.18,1339.67,2109405556
2011-07-05,1339.59,1340.89,1334.3,1337.88,2067955556
2011-07-06,1337.56,1340.94,1330.92,1339.22,1980105556
2011-07-07,1339.62,1356.48,1339.62,1353.22,2260850000
2011-07-08,1352.39,1352.39,1333.71,1343.8,1996866667
2011-07-11,1343.31,1343.31,1316.42,1319.49,2155072222
2011-07-12,1319.61,1327.17,1313.33,1313.64,2348827778
2011-07-13,1314.45,1331.48,1314.45,1317.72,2255600000
2011-07-14,1317.74,1326.88,1306.51,1308.87,2421427778
2011-07-15,1308.87,1317.7,1307.52,1316.14,2357088889
2011-07-18,1315.94,1315.94,1295.92,1305.44,2287866667
2011-07-19,1307.07,1328.14,1307.07,1326.73,2391444444
2011-07-20,1328.66,1330.43,1323.65,1325.84,2093011111
2011-07-21,1325.65,1347,1325.65,1343.8,2687461111
2011-07-22,1343.8,1346.1,1336.95,1345.02,1957127778
2011-07-25,1344.32,1344.32,1331.09,1337.43,1964938889
2011-07-26,1337.39,1338.51,1329.59,1331.94,2226138889
2011-07-27,1331.91,1331.91,1303.49,1304.89,1932800000
2011-07-28,1304.84,1316.32,1299.16,1300.67,2751000000
2011-07-29,1300.12,1304.16,1282.86,1292.28,2811772222
2011-08-01,1292.59,1307.38,1274.73,1286.94,2759661111
2011-08-02,1286.56,1286.56,1254.03,1254.05,2892383333
2011-08-03,1254.25,1261.2,1234.56,1260.34,3581633333
2011-08-04,1260.23,1260.23,1199.54,1200.07,2370294444
2011-08-05,1200.28,1218.11,1168.09,1199.38,3030327778
2011-08-08,1198.48,1198.48,1119.28,1119.46,1452861111
2011-08-09,1120.23,1172.88,1101.54,1172.53,1314811111
2011-08-10,1171.77,1171.77,1118.01,1120.76,2787816667
2011-08-11,1121.3,1186.29,1121.3,1172.64,2047250000
2011-08-12,1172.87,1189.04,1170.74,1178.81,3133544444
2011-08-15,1178.86,1204.49,1178.86,1204.49,2373805556
2011-08-16,1204.22,1204.22,1180.53,1192.76,2817555556
2011-08-17,1192.89,1208.47,1184.36,1193.89,2437966667
2011-08-18,1189.62,1189.62,1131.03,1140.65,1797116667
2011-08-19,1140.47,1154.54,1122.05,1123.53,2870866667
2011-08-22,1123.55,1145.49,1121.09,1123.82,3020144444
2011-08-23,1124.36,1162.35,1122.91,1162.35,2785094444
2011-08-24,1162.16,1178.56,1156.3,1177.6,2952950000
2011-08-25,1176.69,1190.68,1155.47,1159.27,3193566667
2011-08-26,1158.85,1181.23,1135.91,1176.8,2797400000
2011-08-29,1177.91,1210.28,1177.91,1210.08,2348927778
2011-08-30,1209.76,1220.1,1195.77,1212.92,2540316667
2011-08-31,1213,1230.71,1209.35,1218.89,2926577778
2011-09-01,1219.12,1229.29,1203.85,1204.42,2655783333
2011-09-02,1203.9,1203.9,1170.56,1173.97,2445411111
2011-09-06,1173.97,1173.97,1140.13,1165.24,2835544444
2011-09-07,1165.85,1198.62,1165.85,1198.62,2467244444
2011-09-08,1197.98,1204.4,1183.34,1185.9,2480650000
2011-09-09,1185.37,1185.37,1148.37,1154.23,2547983333
2011-09-12,1153.5,1162.52,1136.07,1162.27,2871416667
2011-09-13,1162.59,1176.41,1157.44,1172.87,2600761111
2011-09-14,1173.32,1202.38,1162.73,1188.68,2770411111
2011-09-15,1189.44,1209.11,1189.44,1209.11,2488738889
2011-09-16,1209.21,1220.06,1204.46,1216.01,2916050000
2011-09-19,1214.99,1214.99,1188.36,1204.09,2363438889
2011-09-20,1204.5,1220.39,1201.29,1202.09,2397561111
2011-09-21,1203.63,1206.3,1166.21,1166.76,2626972222
2011-09-22,1164.55,1164.55,1114.22,1129.56,3723966667
2011-09-23,1128.82,1141.72,1121.36,1136.43,3133294444
2011-09-26,1136.91,1164.19,1131.07,1162.95,2646016667
